Category,Product Name,Product Price,Per Unit Price,URL
El-Mercado,Tomate kumato 500 g,"0,96 €","2,70 €/kg",https://www.carrefour.es/supermercado/panecillos-para-perritos-calientes-carrefour-330-g-carrefour/R-fprod1230187/p
El-Mercado,Pan de molde integral con corteza Carrefour 820 g.,"0,57 €","1,17 €/kg",https://www.carrefour.es/supermercado/pan-carrefour-5-ud-carrefour/R-711411255/p
El-Mercado,Pan de picos Carrefour 1 ud,"1,43 €","1,68 €/kg",https://www.carrefour.es/supermercado/pan-carrefour-5-ud-carrefour/R-711411255/p
El-Mercado,Queso mozzarella Italiana Galbani 125 g.,"1,86 €","11,44 €/kg",https://www.carrefour.es/supermercado/queso-rulo-de-cabra-carrefour-180-g-carrefour/R-784529321/p
El-Mercado,Pechuga de pavo Campofrío Finissimas 115 g.,"3,28 €","16,17 €/kg",https://www.carrefour.es/supermercado/queso-rulo-de-cabra-carrefour-180-g-carrefour/R-784529321/p
El-Mercado,Patata ecológica Carrefour Bio 2 Kg,"4,25 €","1,64 €/kg",https://www.carrefour.es/supermercado/longaniza-blanca-fresca-la-nuncia-500-g-la-nuncia/R-761104986/p
El-Mercado,Aguacate 500 g,"1,15 €","7,73 €/kg",https://www.carrefour.es/supermercado/longaniza-blanca-fresca-la-nuncia-500-g-la-nuncia/R-761104986/p
El-Mercado,Berenjena Carrefour Malla 500 g,"1,74 €","2,30 €/kg",https://www.carrefour.es/supermercado/pimiento-verde-1-kg/R-636701853/p
El-Mercado,Tomate sabor rosa Selecta 500 g aprox,"0,79 €","3,49 €/kg",https://www.carrefour.es/supermercado/pimiento-verde-1-kg/R-636701853/p
El-Mercado,Lechuga iceberg Carrefour 250 g,"1,99 €","3,16 €/kg",https://www.carrefour.es/supermercado/tomate-kumato-500-g/R-521032216/p
El-Mercado,Albóndigas de cerdo Carrefour 400 g,"0,95 €","1,99 €/ud",https://www.carrefour.es/supermercado/tomate-kumato-500-g/R-521032216/p
El-Mercado,Fuet casero ElPozo 150 g.,"1,59 €","11,93 €/kg",https://www.carrefour.es/supermercado/pan-de-molde-integral-con-corteza-carrefour-820-g/R-VC4AECOMM-436551/p
El-Mercado,Rúcula y canónigo Carrefour 100 g,"1,40 €","9,50 €/kg",https://www.carrefour.es/supermercado/pan-de-molde-integral-con-corteza-carrefour-820-g/R-VC4AECOMM-436551/p
El-Mercado,Patata para guarnición Carrefour 1 Kg,"0,20 €","1,59 €/kg",https://www.carrefour.es/supermercado/pan-de-picos-carrefour-1-ud-carrefour/R-fprod1180440/p
El-Mercado,Bacon cocido ahumado en tiras ElPozo pack (4x60g) envase 240 g,"2,60 €","10,83 €/kg",https://www.carrefour.es/supermercado/bacon-cocido-ahumado-en-tiras-elpozo-pack-4x60g-envase-240-g-elpozo/R-682908990/p
El-Mercado,Rúcula Carrefour 50 g,"0,75 €","15,00 €/kg",https://www.carrefour.es/supermercado/bacon-cocido-ahumado-en-tiras-elpozo-pack-4x60g-envase-240-g-elpozo/R-682908990/p
El-Mercado,Pechuga de pollo certificado entera Carrefour 500 g aprox,"3,97 €","7,95 €/kg",https://www.carrefour.es/supermercado/rucula-carrefour-50-g-carrefour/R-757834489/p
El-Mercado,Pan Burguer chapatta cristalina 2 ud,"1,60 €","6,96 €/kg",https://www.carrefour.es/supermercado/rucula-carrefour-50-g-carrefour/R-757834489/p
El-Mercado,Tomate raff 1 Kg aprox,"1,90 €","1,89 €/kg",https://www.carrefour.es/supermercado/pechuga-de-pollo-certificado-entera-carrefour-500-g-aprox-carrefour/R-prod1020232/p
El-Mercado,Queso brie 60% M.G Carrefour 200 g,"1,65 €","9,50 €/kg",https://www.carrefour.es/supermercado/pechuga-de-pollo-certificado-entera-carrefour-500-g-aprox-carrefour/R-prod1020232/p
El-Mercado,queso havarti light en lonchas Carrefour 200 g.,"3,42 €","8,25 €/kg",https://www.carrefour.es/supermercado/pan-burguer-chapatta-cristalina-2-ud/R-prod860386/p
El-Mercado,Filete de cadera o babilla de ternera 1ªA Calidad y Origen Carrefour 300 g aprox,"1,45 €","11,40 €/kg",https://www.carrefour.es/supermercado/pan-burguer-chapatta-cristalina-2-ud/R-prod860386/p
El-Mercado,Queso Roquefort D.O.P Carrefour cuña 100 g,"1,49 €","14,50 €/kg",https://www.carrefour.es/supermercado/tomate-raff-1-kg-aprox/R-600709166/p
El-Mercado,Tomate cherry 500 g,"2,00 €","2,98 €/kg",https://www.carrefour.es/supermercado/tomate-raff-1-kg-aprox/R-600709166/p
El-Mercado,Jamón york el lonchas sándwich El Pozo sin gluten sin lactosa 225 g.,"1,13 €","7,29 €/kg",https://www.carrefour.es/supermercado/queso-brie-60-mg-carrefour-200-g-carrefour/R-783928718/p
El-Mercado,Mango 700 g,"1,25 €","2,86 €/kg",https://www.carrefour.es/supermercado/queso-brie-60-mg-carrefour-200-g-carrefour/R-783928718/p
El-Mercado,Magdalena cuadrada Carrefour 700 g.,"2,89 €","1,61 €/kg",https://www.carrefour.es/supermercado/queso-havarti-light-en-lonchas-carrefour-200-g-carrefour/R-521030721/p
El-Mercado,Queso rallado en polvo especial pasta El Caserío 100 g.,"0,68 €","12,50 €/kg",https://www.carrefour.es/supermercado/queso-havarti-light-en-lonchas-carrefour-200-g-carrefour/R-521030721/p
El-Mercado,Hamburguesa de añojo Calidad y Origen Carrefour 2x150 g,"2,24 €","9,63 €/kg",https://www.carrefour.es/supermercado/filete-de-cadera-o-babilla-de-ternera-1a-calidad-y-origen-carrefour-300-g-aprox-calidad-y-origen-carrefour/R-prod1070081/p
El-Mercado,Morcillo de añojo Calidad y Origen Carrefour 500 g aprox,"2,81 €","7,50 €/kg",https://www.carrefour.es/supermercado/filete-de-cadera-o-babilla-de-ternera-1a-calidad-y-origen-carrefour-300-g-aprox-calidad-y-origen-carrefour/R-prod1070081/p
El-Mercado,Picos camperos con aceite de oliva virgen extra Carrefour sin lactosa 250 g.,"2,25 €","2,72 €/kg",https://www.carrefour.es/supermercado/queso-roquefort-dop-carrefour-cuna-100-g-carrefour/R-785113099/p
El-Mercado,Pechuga de pavo natural asada Frial al corte 150 g aprox,"1,99 €","14,95 €/kg",https://www.carrefour.es/supermercado/queso-roquefort-dop-carrefour-cuna-100-g-carrefour/R-785113099/p
El-Mercado,Costillas de cerdo troceadas para guisar Carrefour 500 g aprox,"1,10 €","5,63 €/kg",https://www.carrefour.es/supermercado/tomate-cherry-500-g/R-VC4AECOMM-600248/p
El-Mercado,Longaniza fresca de pollo Carrefour 400 g,"1,30 €","2,25 €/ud",https://www.carrefour.es/supermercado/tomate-cherry-500-g/R-VC4AECOMM-600248/p
El-Mercado,"Patata princesa amandine 1,5 kg","2,30 €","1,33 €/kg",https://www.carrefour.es/supermercado/jamon-york-el-lonchas-sandwich-el-pozo-sin-gluten-sin-lactosa-225-g-elpozo/R-522714864/p
El-Mercado,Crema de queso de untar natural Philadelphia pack de 2 unidades de 250 g.,"2,12 €","7,78 €/kg",https://www.carrefour.es/supermercado/crema-de-queso-de-untar-natural-philadelphia-pack-de-2-unidades-de-250-g-philadelphia/R-854600355/p
El-Mercado,Jamón cocido Campofrío Finissimas sin gluten 170 g.,"2,10 €","15,29 €/kg",https://www.carrefour.es/supermercado/crema-de-queso-de-untar-natural-philadelphia-pack-de-2-unidades-de-250-g-philadelphia/R-854600355/p
El-Mercado,Lacón cocido y ahumado extra cortado a mano sin gluten y sin lactosa 150 g,"1,50 €","12,47 €/kg",https://www.carrefour.es/supermercado/promocion?promoId=promof2530102
