Competitor ,Country_code,City_code,hex7_tag,Restaurant Name,,,Food tag 1,Schdeule,Min. Order Price,Delivery Cost,Restaurant Link,Created_at,Updated_at
tazz.ro,RO,CLJ,871e0b382ffffff,Pizza Square Floresti,,,Italian ,Deschide la 10:00,FALSE,5.00  Lei,https://tazz.ro/cluj-napoca/pizza-square-floresti/3946/partener,30/10/2020 13:27:28,30/10/2020 13:27:28
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Tramvay Bistro,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/tramvay-bistro/4096/partener,30/10/2020 13:27:29,30/10/2020 13:27:29
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Mr. Cake,,,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/mr-cake/1362/partener,30/10/2020 13:27:29,30/10/2020 13:27:29
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Cuib - pentru pofte si nazuri,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/cuib-pentru-pofte-si-nazuri/1793/partener,30/10/2020 13:27:30,30/10/2020 13:27:30
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,The Empanadas Factory,,,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/the-empanadas-factory/1360/partener,30/10/2020 13:27:31,30/10/2020 13:27:31
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Magic Coco,,,InternaÈ›ional ,Deschide la 10:00,35.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/magic-coco/1719/partener,30/10/2020 13:27:32,30/10/2020 13:27:32
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Bistro Viena,,,InternaÈ›ional ,Deschide la 10:30,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/bistro-viena/3322/partener,30/10/2020 13:27:33,30/10/2020 13:27:33
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Mint Bistro,,,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/mint-bistro/1244/partener,30/10/2020 13:27:34,30/10/2020 13:27:34
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Nutriento,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/nutriento/1260/partener,30/10/2020 13:27:35,30/10/2020 13:27:35
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Healthylicious,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/healthylicious/1222/partener,30/10/2020 13:27:36,30/10/2020 13:27:36
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Double Delivery,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/double-delivery/1781/partener,30/10/2020 13:27:37,30/10/2020 13:27:37
,,,,,,,,,,,,,
