Competitor,Sourcing_competitor,Restaurant_name,Tags,Average_basket_value,Country,City,City_code,Address,Postal_code,Latitude,Longitude,Phone_number,Rating,Number_of_reviews,Website,URL,Takeaway,Delivery
Yelp,sourcing_yelp,Base 2.0,"Cafeteria, Sandwiches",NA,Spain,Vic,VIK,"Calle Gurb, 1008500 Vic",NA,NA,NA,639 226 536,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/base-2-0-vic,NA,NA
Yelp,sourcing_yelp,Restaurante Ca L 'u,Spanish,NA,Spain,Vic,VIK,Plaza Santa Teresa 408500 Vic,NA,NA,NA,938 863 504,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/restaurante-ca-l-u-vic,NA,NA
Yelp,sourcing_yelp,Cansaladeria Burgaya,Restaurants,NA,Spain,Vic,VIK,"Rbla Hospital, 3108500 Vic",NA,NA,NA,938 850 998,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/cansaladeria-burgaya-vic,NA,NA
Yelp,sourcing_yelp,Fussimanya,Spanish,NA,Spain,Vic,VIK,"Mercat Municipal De VicCarrer dels Morató, 108500 Vic",NA,NA,NA,938 854 670,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/fussimanya-vic,NA,NA
Yelp,sourcing_yelp,Burguer King,Burgers,NA,Spain,Vic,VIK,"Poligano Industrial Mas D'en PratCarretra Barcelona, 52208500 Vic",NA,NA,NA,NA,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/burguer-king-vic,NA,NA
Yelp,sourcing_yelp,Marín,"Mediterranean, Tapas Bars, Catalan",NA,Spain,Sant Andreu + Martorell,SAD,"Passeig de Torras i Bages, 1608030 Barcelona",NA,NA,NA,933 451 238,4.5,5 reviews,https://www.yelp.com,https://www.yelp.com/biz/mar%C3%ADn-barcelona,NA,NA
Yelp,sourcing_yelp,El Colombia,"Coffee & Tea, Tapas Bars",NA,Spain,Sant Andreu + Martorell,SAD,"Rambla de Fabra i Puig, 108030 Barcelona",NA,NA,NA,933 514 701,4.5,3 reviews,https://www.yelp.com,https://www.yelp.com/biz/el-colombia-barcelona,NA,NA
Yelp,sourcing_yelp,El Timbalet,"Cafeteria, Coffee & Tea",NA,Spain,Sant Andreu + Martorell,SAD,"Carrer de Trinxant, 14408041 Barcelona",NA,NA,NA,933 405 142,4.5,3 reviews,https://www.yelp.com,https://www.yelp.com/biz/el-timbalet-barcelona,NA,NA
Yelp,sourcing_yelp,Cerveseria Catalana,Spanish,NA,Spain,Sant Andreu + Martorell,SAD,"Carrer de Mallorca, 23608008 Barcelona",NA,NA,NA,932 160 368,4.5,1255 reviews,https://www.yelp.com,https://www.yelp.com/biz/cerveseria-catalana-barcelona,NA,NA
Yelp,sourcing_yelp,Daytona,Spanish,NA,Spain,Sant Andreu + Martorell,SAD,"Avinguda Meridiana, 50508016 Barcelona",NA,NA,NA,646 458 993,4,1 review,https://www.yelp.com,https://www.yelp.com/biz/daytona-barcelona,NA,NA
