Rappi,PE,Peru,TRU,Trujillo,D'TradiciÃ³n SalÃ³n de TÃ©,Desayunos,null,null,S/ 5.00,36 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Kito Fabrica Culinaria,Carnes,null,null,S/ 6.50,43 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Alcapone,"Hamburguesas,","Alitas,",Desayunos,S/ 4.60,25 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Brunito Pizzas Restaurant,"Pizzas,",Desayunos,null,S/ 7.00,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,La Braseria,"Alitas,",Pollería,null,S/ 6.10,26 min,4.5
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Super Papa,"Salchipapas,",Desayunos,null,S/ 3.70,21 min,4.7
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Real Chicken,"Pollería,",Chifa,null,S/ 4.60,16 min,4.6
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Mister Burger,Hamburguesas,null,null,S/ 6.50,28 min,4.9
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,MariniÂ´s,"Pollería,",Carnes,null,S/ 7.20,24 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Garage Grill & Cilindro,"Carnes,",Chifa,null,S/ 5.00,46 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,La SazÃ³n De Fabiola,"Criolla,",Carnes,null,S/ 6.10,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Crib Lounge PizzerÃ­a,Pizzas,null,null,S/ 7.00,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Santana Parrillas & CafeterÃ­a,Carnes,null,null,S/ 3.80,30 min,4.6
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,PastelerÃ­a 2L,"Panadería,",Postres,null,S/ 7.00,30 min,4.7
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Salchibravas,"Salchipapas,",Carnes,null,S/ 5.00,30 min,4.1
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,La Estampida,Carnes,null,null,S/ 4.60,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Pardos Chicken,"Pollería,",Saludable,null,S/ 5.50,45 min,4.7
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,La Bocca,"Criolla,",Pescados y Mariscos,null,S/ 5.50,30 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Chifa Hermanos,Chifa,null,null,S/ 5.50,25 min,4.6
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Gourmand,"Postres,",Desayunos,null,S/ 5.40,21 min,4.7
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Papa John's,Pizzas,null,null,S/ 6.90,30 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Chili's,"Hamburguesas,",Pollería,null,S/ 6.50,95 min,4.6
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,La Barra del Chino,"Pescados y Mariscos,",Desayunos,null,S/ 5.50,31 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Bembos,Hamburguesas,null,null,S/ 6.50,35 min,4.7
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Entrale Pez,Pescados y Mariscos,null,null,S/ 5.10,31 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Somosushi Delivery & Catering,"Alitas,","Sushi,",Desayunos,S/ 5.50,39 min,4.5
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Chinawok,Chifa,null,null,S/ 5.50,44 min,4.7
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,BahÃ­a Blanca,"Criolla,",Pescados y Mariscos,null,S/ 5.50,33 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Challgua Barra Marina - Sushi,"Sushi,","Pescados y Mariscos,",Desayunos,S/ 6.90,30 min,4.9
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Don Lucho restaurante,"Pescados y Mariscos,",Criolla,null,S/ 6.50,22 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Chifa Taika,Chifa,null,null,S/ 5.00,30 min,4.3
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,La Habana,"Pescados y Mariscos,",Desayunos,null,S/ 5.00,40 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,D'Pauli,"Postres,",Desayunos,null,S/ 3.80,12 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Bottega Capuccino,"Postres,",Desayunos,null,S/ 5.00,23 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Otto Grill,Pollería,null,null,S/ 6.50,49 min,4.5
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,FuruloÂ´s,Pescados y Mariscos,null,null,S/ 4.20,19 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,KFC,"Pollería,",Alitas,null,S/ 5.90,75 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Makis & Wings,"Alitas,","Sushi,",Desayunos,S/ 5.00,32 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Hong Kong,Chifa,null,null,S/ 7.20,22 min,4.6
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,La Choza de la Anaconda,"Criolla,",Chifa,null,S/ 5.00,27 min,4.2
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Chimichanga Snack,"Postres,","Jugos y Batidos,",Desayunos,S/ 5.50,28 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Starbucks,"Café,","Postres,",Desayunos,S/ 5.00,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,D'Casa,"Criolla,",Chifa,null,S/ 4.60,32 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Roky's,"Pollería,",Desayunos,null,S/ 5.00,25 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Sarcletti,"Criolla,",Desayunos,null,S/ 5.50,32 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Pizza Don Lucas,Pizzas,null,null,S/ 3.40,30 min,4.7
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,CevicherÃ­a Nitos,"Pescados y Mariscos,",Desayunos,null,S/ 5.50,26 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,MatheoÂ´s,"Saludable,","Sándwiches,",Desayunos,S/ 3.80,30 min,4.5
,,,,,,,,,,,
Rappi,PE,Peru,PIU,Piura,Chicken Box Express,"Pollería,",Alitas,null,S/ 3.80,42 min,4.7
,,,,,,,,,,,
