Competitor,Sourcing_competitor,Restaurant_name,Tag,Average_basket_value,Min. Order,Country,City,City_code,Address,Postal_code,Latitude,Longitude,Phone_number,Rating,Number_of_reviews,Website, URL,Opening_hours,Delivery_charges
Tazz,sourcing_tazz,Gustari Magice,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,Calea Sagului nr 22 (intrarea Blv Dambovita),N/A,45.75324307,21.23646541,N/A,4.1,14,https://www.tazz.ro,https://tazz.ro/timisoara/gustari-magice/4259/partener,"Luni  10:00 - 18:00
Marți  10:00 - 18:00
Miercuri  10:00 - 18:00
Joi  10:00 - 18:00
Vineri  10:00 - 18:00
Sâmbătă  10:00 - 16:30
Duminică  10:00 - 16:30
","6 99 								Lei"
Tazz,sourcing_tazz,KFC Shopping City Timisoara,American ,N/A,30 00 Lei,Romania,Timisoara,TIM,Calea Sagului nr. 100,N/A,45.75324307,21.23646541,N/A,4.1,3455,https://www.tazz.ro,https://tazz.ro/timisoara/kfc-shopping-city-timisoara/1769/partener,"Luni  10:00 - 21:45
Marți  10:00 - 21:45
Miercuri  10:00 - 21:45
Joi  10:00 - 21:45
Vineri  10:00 - 21:45
Sâmbătă  10:00 - 21:45
Duminică  10:00 - 21:45
","2 99 								Lei"
Tazz,sourcing_tazz,Falafel King Iulius Town,Oriental ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Piața Consiliul Europei, Nr.2",N/A,45.75324307,21.23646541,N/A,4.1,204,https://www.tazz.ro,https://tazz.ro/timisoara/falafel-king-iulius-town/3953/partener,"Luni  10:00 - 21:00
Marți  10:00 - 21:00
Miercuri  10:00 - 21:00
Joi  10:00 - 21:00
Vineri  10:00 - 21:00
Sâmbătă  10:00 - 21:00
Duminică  10:00 - 21:00
","6 99 								Lei"
Tazz,sourcing_tazz,Beef Burger,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Piata Victoriei, Nr. 3",N/A,45.75324307,21.23646541,N/A,4,28,https://www.tazz.ro,https://tazz.ro/timisoara/beef-burger/4866/partener,"Luni  11:00 - 22:00
Marți  11:00 - 22:00
Miercuri  11:00 - 22:00
Joi  11:00 - 22:00
Vineri  11:00 - 22:00
Sâmbătă  11:00 - 22:00
Duminică  11:00 - 22:00
","6 99 								Lei"
Tazz,sourcing_tazz,Falafel King Centru,Oriental ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Str. Proclamatia de la Timisoara, Nr.7, Ap.2",N/A,45.75324307,21.23646541,N/A,4,222,https://www.tazz.ro,https://tazz.ro/timisoara/falafel-king-centru/3954/partener,"Luni  10:00 - 19:30
Marți  10:00 - 19:30
Miercuri  10:00 - 19:30
Joi  10:00 - 19:30
Vineri  10:00 - 19:30
Sâmbătă  10:00 - 18:30
","6 99 								Lei"
Tazz,sourcing_tazz,Ricci Delivery,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Piata Victoriei, Nr. 3",N/A,45.75324307,21.23646541,N/A,4,935,https://www.tazz.ro,https://tazz.ro/timisoara/ricci-delivery/141/partener,"Luni  11:00 - 22:00
Marți  11:00 - 22:00
Miercuri  11:00 - 22:00
Joi  11:00 - 22:00
Vineri  11:00 - 22:00
Sâmbătă  11:00 - 22:00
Duminică  11:00 - 22:00
","6 99 								Lei"
Tazz,sourcing_tazz,Autentik,RomÃ¢nesc ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Str. Aurelianus, nr. 7 A",N/A,45.75324307,21.23646541,N/A,3.9,788,https://www.tazz.ro,https://tazz.ro/timisoara/autentik/24/partener,"Luni  09:30 - 22:00
Marți  09:30 - 22:00
Miercuri  09:30 - 22:00
Joi  09:30 - 22:00
Vineri  09:30 - 22:00
Sâmbătă  09:30 - 22:00
Duminică  10:00 - 22:00
","6 99 								Lei"
Tazz,sourcing_tazz,Sushi Master Dumbravita,Japonez ,N/A,50 00 Lei,Romania,Timisoara,TIM,"Str. Conac, Nr. 55, Dumbravita",N/A,45.75324307,21.23646541,N/A,N/A,0,https://www.tazz.ro,https://tazz.ro/timisoara/sushi-master-dumbravita/5094/partener,"Luni  09:30 - 20:30
Marți  09:30 - 20:30
Miercuri  09:30 - 20:30
Joi  09:30 - 20:30
Vineri  09:30 - 20:30
Sâmbătă  09:30 - 20:30
Duminică  09:30 - 20:30
",Free Delivery
Tazz,sourcing_tazz,VurgÄƒr Caravan Buziasului,RomÃ¢nesc ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Calea Buziasului, strada Siemens nr. 1",N/A,45.75324307,21.23646541,N/A,5,27,https://www.tazz.ro,https://tazz.ro/timisoara/vurgar-caravan-buziasului/4533/partener,"Luni  11:00 - 15:00
Marți  11:00 - 15:00
Miercuri  11:00 - 15:00
Joi  11:00 - 15:00
Vineri  11:00 - 15:00
","6 99 								Lei"
Tazz,sourcing_tazz,VurgÄƒr Caravan Piata 700,RomÃ¢nesc ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Gh lazar 9 B, Piata 700",N/A,45.75324307,21.23646541,N/A,5,6,https://www.tazz.ro,https://tazz.ro/timisoara/vurgar-caravan-piata-700/4528/partener,"Luni  11:00 - 15:00
Marți  11:00 - 15:00
Miercuri  11:00 - 15:00
Joi  11:00 - 15:00
Vineri  11:00 - 15:00
","6 99 								Lei"
