Competitor,Country Code,City Code,hex7_tag,Restaurant Name,Ratings,Reviews,Tag,Restaurant Time,Min. Order,Delivery Charges,Restaurant URL,Created_at,Updated_at
tazz.ro,RO,ORD,871e0aa9cffffff,Pellini Evolution,5,8,InternaÈ›ional ,Închide la 21:00,FALSE,"4 99 								Lei",https://tazz.ro/oradea/pellini-evolution/938/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Zmura Fresh,5,14,InternaÈ›ional ,Închide la 20:00,FALSE,"2 00 								Lei",https://tazz.ro/oradea/zmura-fresh/3142/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Di Luca,4.9,14,Italian ,Închide la 22:45,30 00 Lei,Free Delivery,https://tazz.ro/oradea/di-luca/1371/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,A`la Chef,4.9,5,InternaÈ›ional ,Închis,FALSE,"4 99 								Lei",https://tazz.ro/oradea/a-la-chef/1408/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Dabo Doner Moldovei,-.-,4,Turcesc ,Închide la 21:00,16 00 Lei,"4 99 								Lei",https://tazz.ro/oradea/dabo-doner-moldovei/3178/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Black Wolf,4.6,110,InternaÈ›ional ,Închide la 21:45,FALSE,"4 99 								Lei",https://tazz.ro/oradea/black-wolf/936/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Dabo Doner Oradea Lotus,4.4,97,Turcesc ,Închide la 21:00,16 00 Lei,"4 99 								Lei",https://tazz.ro/oradea/dabo-doner-oradea-lotus/1069/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Crinul Alb,4.1,45,InternaÈ›ional ,Închide la 20:00,20 00 Lei,Free Delivery,https://tazz.ro/oradea/crinul-alb/1148/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,21 StreetFood,3.5,55,InternaÈ›ional ,Închis,FALSE,"4 99 								Lei",https://tazz.ro/oradea/21-streetfood/635/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Agil - Hot Grill Rogerius,3.1,10,RomÃ¢nesc ,Închide la 16:30,30 00 Lei,Free Delivery,https://tazz.ro/oradea/agil-hot-grill-rogerius/3255/partener,5/1/2021 13:05,5/1/2021 13:05
